url,job_title,company,location,salary,experience,education,level,employment_type,industry,required_skills,preferred_skills,specialization,job_description,requirement,brand_recrawled,_filter_decision,_filter_reason
https://www.topcv.vn/brand/tuyendungvietabank/tuyen-dung/cv-cvc-cvcc-phan-tich-nghiep-vu-lam-viec-tai-ha-dong-ha-noi-j2082124.html,,NGÂN HÀNG TMCP VIỆT Á - VIETABANK,,,,,,,,[],[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Bảo hiểm xã hội', 'Bảo hiểm sức khỏe', 'Khám sức khỏe định kỳ', 'Chuyên môn Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần cứng và máy tính', 'IT - Phần mềm', 'Ngân hàng']",,,True,review,empty_title
https://www.topcv.vn/brand/topcv/tuyen-dung/product-owner-j2091542.html,,Công ty Cổ phần TOPCV Việt Nam,,,,,,,,[],[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Bảo hiểm xã hội', 'Bảo hiểm sức khỏe', 'Chuyên môn Product Analyst/Research', 'Nhân sự', 'Thương mại điện tử']",,,True,review,empty_title
https://www.topcv.vn/brand/fptis/tuyen-dung/fullstack-developer-java-reactjs-j2069794.html,,FPT IS,,,,,,,,[],[],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Chuyên môn Fullstack Developer']",,,True,review,empty_title
https://www.topcv.vn/brand/carbonbilliards/tuyen-dung/graphic-designer-thiet-ke-sang-tao-ha-noi-luong-cung-12-15-trieu-thang-j2084229.html,,CÔNG TY TNHH CARBON BILLIARDS,,,,,,,,[],[],"['2 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Thưởng hiệu quả làm việc', 'Team building', 'Thưởng tháng 13', 'Chuyên môn Thiết kế đồ họa (Graphic Design)']",,,True,review,empty_title
https://www.topcv.vn/brand/sofitel/tuyen-dung/business-analyst-ba-chuyen-vien-phan-tich-nghiep-vu-luong-up-to-45m-tieng-anh-tot-hn-j2097626.html,,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,,,,,,,,[],[],"['4 năm kinh nghiệm', 'Đại Học trở lên', 'Tiếng Anh Đọc hiểu', 'Tiếng Anh Giao tiếp cơ bản', 'Nghỉ thứ 7', 'Bảo hiểm xã hội', 'Team building', 'Chuyên môn Business Analyst (Phân tích nghiệp vụ)']",,,True,review,empty_title
https://www.topcv.vn/brand/cnvholdings/tuyen-dung/quan-ly-kinh-doanh-15-50m-nghi-t7-cn-j2098236.html,,CÔNG TY TNHH CNV HOLDINGS,,,,,,,,[],[],"['Dưới 1 năm kinh nghiệm', 'Trung cấp trở lên', 'Tuổi 24 - 34', 'Chuyên môn Kinh doanh phần mềm', 'IT - Phần mềm', 'Thương mại điện tử', 'Marketing / Quảng cáo', 'B2B']",,,True,review,empty_title
https://www.topcv.vn/brand/smartosc/tuyen-dung/business-analyst-lead-j2083226.html,,CÔNG TY CỔ PHẦN SMARTOSC,,,,,,,,[],[],"['Trên 5 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Bảo hiểm sức khỏe', 'Du lịch hàng năm', 'Chuyên môn Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần mềm', 'Thương mại điện tử']",,,True,review,empty_title
https://www.topcv.vn/brand/cnvholdings/tuyen-dung/nhan-vien-kinh-doanh-sales-b2b-nhan-vien-tu-van-15-40m-nghi-t7-cn-j2066650.html,,CÔNG TY TNHH CNV HOLDINGS,,,,,,,,[],[],"['Dưới 1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Có hỗ trợ Data', 'Chuyên môn Kinh doanh phần mềm', 'IT - Phần mềm', 'Thương mại điện tử', 'Marketing / Quảng cáo', 'B2B', 'Direct Sales', 'Online Sales']",,,True,review,empty_title
https://www.topcv.vn/brand/cnvholdings/tuyen-dung/quan-ly-kinh-doanh-sales-manager-sales-leader-mang-phan-mem-20-80m-nghi-t7-cn-j2054795.html,,CÔNG TY TNHH CNV HOLDINGS,,,,,,,,[],[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Tuổi 29 - 36', 'Chuyên môn Kinh doanh phần mềm', 'IT - Phần mềm', 'Thương mại điện tử', 'Marketing / Quảng cáo', 'B2B']",,,True,review,empty_title
https://www.topcv.vn/brand/giaiphapvacongnghevietnix/tuyen-dung/chuyen-vien-kinh-doanh-hosting-vps-thu-nhap-len-toi-30-trieu-toi-thieu-1-nam-kinh-nghiem-j2062209.html,,,,,,,,,,[],[],[],,,True,review,empty_title
https://www.topcv.vn/brand/vnresource1209/tuyen-dung/senior-net-developer-j2079841.html,,CÔNG TY CỔ PHẦN TÀI NGUYÊN TRI THỨC VIỆT NĂNG,,,,,,,,[],[],"['2 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Nam', 'Bảo hiểm xã hội', 'Khám sức khỏe định kỳ', 'Team building', 'Chuyên môn Software Engineer', 'IT - Phần mềm']",,,True,review,empty_title
https://www.topcv.vn/brand/softdreams/tuyen-dung/fresher-business-analyst-tu-1-nam-kinh-nghiem-offer-9-15tr-thang-j1951795.html,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,,,,,,,,[],[],"['1 năm kinh nghiệm', 'Đại Học trở lên', 'Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần mềm', 'IT - Phần cứng và máy tính']",,,True,review,empty_title
https://www.topcv.vn/brand/eup/tuyen-dung/nhan-vien-kiem-thu-phan-mem-manual-automation-tu-1-nam-kinh-nghiem-j2083634.html,,Công ty Cổ phần Công nghệ eUp,,,,,,,,[],[],"['1 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Bảo hiểm xã hội', 'Bảo hiểm sức khỏe', 'Chuyên môn Software Tester (Automation & Manual)', 'IT - Phần mềm']",,,True,review,empty_title
https://www.topcv.vn/brand/softdreams/tuyen-dung/fresher-tester-tu-6-thang-kinh-nghiem-offer-8-13tr-thang-j1952019.html,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,,,,,,,,[],[],"['Dưới 1 năm kinh nghiệm', 'Đại Học trở lên', 'Software Tester (Automation & Manual)', 'IT - Phần mềm', 'IT - Phần cứng và máy tính']",,,True,review,empty_title
https://www.topcv.vn/brand/softdreams/tuyen-dung/project-manager-luong-thoa-thuan-theo-nang-luc-tu-1-3-nam-kinh-nghiem-j2077831.html,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,,,,,,,,[],[],"['1 năm kinh nghiệm', 'Đại Học trở lên', 'IT Project Manager', 'An ninh mạng', 'IT - Phần cứng và máy tính', 'IT - Phần mềm']",,,True,review,empty_title
https://www.topcv.vn/brand/monahost/tuyen-dung/magento-developer-j1931537.html,,CÔNG TY TNHH MONA HOST,,,,,,,,[],[],"['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Nghỉ thứ 7', 'Chuyên môn Software Engineer', 'IT - Phần mềm']",,,True,review,empty_title
https://www.topcv.vn/brand/kamereo/tuyen-dung/ui-ux-designer-j2092294.html,,CÔNG TY TNHH KAMEREO,,,,,,,,[],[],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Chuyên môn UI/UX Design']",,,True,review,empty_title
