job_id,source,standardized_title,url,skill_name,label,category,min_years,level,source_text,skill_normalized,skill_aliased
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,ASP.NET,required_skill,Framework / Library,,,"Có hiểu biết về ASP.NET, OOP, RESFULL, Design Patterns",asp net,asp net core
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,OOP,required_skill,Engineering Concepts & Methodologies,,,"Có hiểu biết về ASP.NET, OOP, RESFULL, Design Patterns",oop,oop
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,RESFULL,required_skill,Engineering Concepts & Methodologies,,,"Có hiểu biết về ASP.NET, OOP, RESFULL, Design Patterns",resfull,resfull
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,Design Patterns,required_skill,Engineering Concepts & Methodologies,,,"Có hiểu biết về ASP.NET, OOP, RESFULL, Design Patterns",design patterns,design patterns
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,lập trình Backend,required_skill,Domain Knowledge,,,Có hiểu biết về lập trình Backend – Frontend,lập trình backend,backend development
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,lập trình Frontend,required_skill,Domain Knowledge,,,Có hiểu biết về lập trình Backend – Frontend,lập trình frontend,frontend development
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,Javascript,required_skill,Programming Language,,,"lập trình Backend – Frontend, Javascript, HTML, CSS, HTTP",javascript,javascript
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,HTML,required_skill,Programming Language,,,"lập trình Backend – Frontend, Javascript, HTML, CSS, HTTP",html,html
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,CSS,required_skill,Programming Language,,,"lập trình Backend – Frontend, Javascript, HTML, CSS, HTTP",css,css
https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,topcv,Backend Developer,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-khong-yeu-cau-kinh-nghiem-thu-nhap-up-to-20-m/2051780.html,HTTP,required_skill,Engineering Concepts & Methodologies,,,"lập trình Backend – Frontend, Javascript, HTML, CSS, HTTP",http,http
